Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124553.2,x,,[ter-:te-] + <raformasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124553.3,x,,ter- + <aformas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124553.4,v,,ter- + <aformasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124553.5,x,,<teraformas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124554,k,0,teragak,dasar,,,,,
124554.1,x,,[ter-:te-] + <ragak>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124554.2,v,,ter- + <agak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124555,v,3,teragenda,dasar,,,,,
124555.1,x,,[ter-:te-] + <ragenda>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124555.2,v,,ter- + <agenda>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124556,k,0,teragitasi,dasar,,,,,
124556.1,x,,[ter-:te-] + <ragitas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124556.2,x,,[ter-:te-] + <ragitasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124556.3,x,,ter- + <agitas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124556.4,v,,ter- + <agitasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124556.5,x,,<teragitas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124557,v,3,teraglomerasi,dasar,,,,,
124557.1,x,,[ter-:te-] + <raglomeras> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124557.2,x,,[ter-:te-] + <raglomerasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124557.3,x,,ter- + <aglomeras> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124557.4,v,,ter- + <aglomerasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124557.5,x,,<teraglomeras> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124558,v,2,teragregasi,dasar,,,,,
124558.1,x,,[ter-:te-] + <ragregas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124558.2,x,,[ter-:te-] + <ragregasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124558.3,x,,ter- + <agregas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124558.4,v,,ter- + <agregasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124558.5,x,,<teragregas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124559,k,0,teragresif,dasar,,,,,
124559.1,x,,[ter-:te-] + <ragresif>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124559.2,v,,ter- + <agresif>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124560,k,0,teragung,dasar,,,,,
124560.1,x,,[ter-:te-] + <ragung>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124560.2,v,,ter- + <agung>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124561,k,0,terahertz,dasar,,,,,
124561.1,x,,[ter-:te-] + <rahertz>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124561.2,x,,ter- + <ahertz>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124562,k,0,terahli,dasar,,,,,
124562.1,x,,[ter-:te-] + <rahl> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
